jop_title,company_name,company_location,jop_exp,jop_num_exp,jop_skills
Senior Analyst - Forecasting and Research,Transguard group,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Senior Compliance Analyst (Client Acceptance) - For UAE Nationals,ADCB Abu Dhabi Commercial Bank,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Junior Data Analyst,Options,"Mohandessin, Giza, Egypt",Experienced,2 - 5 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' analytical ', ' Communication skills ', ' Computer Science ', ' Data Analysis ', ' Data visualization ', ' Data']"
Data Analyst,Confidential,"Alexandria, Egypt",Experienced,2 - 4 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' analytical ', ' Business Intelligence ', ' Communication skills ', ' English ', ' Data Analysis ', ' Amazon AWS ', ' Information Technology (IT)']"
Finance Analyst,Raytheon,"Riyadh, Saudi Arabia",Not specified,None,"[' Accounting/Finance ', ' Banking ', ' Analyst/Research ', ' Finance ', ' Accounting ', ' Financial Analysis ', ' Commerce ', ' Microsoft Office ', ' Analyst ', ' Economics']"
Infrastructure SAN Storage and Data Protection Manager,Confidential,"Cairo, Egypt",Experienced,8 - 10 Yrs of Exp,"[' IT/Software Development ', ' SAN Storage ', ' Data Center Management']"
Manager IT Platform Operations,Charterhouse Middle East,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Operations/Management ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' ITIL ', ' Infrastructure ', ' Management ', ' Operations ', ' Support']"
Assistant Professor in Statistics,University of Doha for Science and Technology (UDST),"Doha, Qatar",Not specified,None,"[' Human Resources ', ' Engineering - Telecom/Technology ', ' Education/Teaching ', ' Education ', ' Teaching ', ' Tutor ', ' Human Resources (HR) ', ' Artificial Intelligence ', ' Computer Engineering ', ' Computer Science']"
BI Developer,Confidential,"Nasr City, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Microsoft Power BI ', ' BI ', ' Computer Science ', ' Data Warehouse ', ' Engineering ', ' ETL ', ' Information Technology (IT)']"
Interactive Learning Specialist (KSA),Raytheon,"Riyadh, Saudi Arabia",Not specified,None,"[' Human Resources ', ' IT/Software Development ', ' Training/Instructor ', ' Training ', ' E-Learning ', ' Information Technology (IT) ', ' Learning ', ' Business Development ', ' Computer Science ', ' Human Resources (HR)']"
ITSM Senior Analyst - Service Now Developer,Antal International,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
SAP ABAP Analyst,Antal International,"Cairo, Egypt",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' SAP ', ' ABAP ', ' Computer Science ', ' Software Engineering ', ' Computer Engineering ', ' SAP ABAP']"
Senior Software Business Analyst / ERP,Our Education,"Nasr City, Cairo, Egypt",Experienced,5 - 10 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' Management ', ' Project Management ', ' Software Development ', ' Agile ', ' business ', ' Computer Science']"
